box_no,title,original_title,condition,dimensions,image_url,filename,source,has_metadata
,,,,,,13-33.jpg,tzigara,0
,,,,,,13-34.jpg,tzigara,0
,,,,,,13-36.jpg,tzigara,0
,,,,,,13-37.jpg,tzigara,0
,,,,,,13-39.jpg,tzigara,0
,,,,,,13-40.jpg,tzigara,0
,,,,,,13-41.jpg,tzigara,0
,,,,,,13-42.jpg,tzigara,0
,,,,,,13-43.jpg,tzigara,0
,,,,,,13-44.jpg,tzigara,0
,,,,,,13-45.jpg,tzigara,0
,,,,,,13-46.jpg,tzigara,0
,,,,,,13-48.jpg,tzigara,0
,,,,,,13-49.jpg,tzigara,0
,,,,,,13-50.jpg,tzigara,0
,,,,,,13-51.jpg,tzigara,0
,,,,,,13-52.jpg,tzigara,0
,,,,,,13-53.jpg,tzigara,0
,,,,,,13-54.jpg,tzigara,0
,,,,,,13-55.jpg,tzigara,0
,,,,,,13-56.jpg,tzigara,0
,,,,,,13-58.jpg,tzigara,0
,,,,,,13-60.jpg,tzigara,0
,,,,,,13-61.jpg,tzigara,0
,,,,,,13-62.jpg,tzigara,0
,,,,,,13-64.jpg,tzigara,0
Cutie/nr:13-67,"Biserica de lemn „Sf Dumitru”, „Adormirea Maicii Domnului” din Corneşti(Imagine exterioară – vedere de ansamblu dinspre nord-vest), fotografie",,,5516x6329 px,https://tzigara-samurcas.uauim.ro/static/box/display/13/13-067.jpg,13-67.jpg,tzigara,1
,,,,,,13-68.jpg,tzigara,0
,,,,,,13-7.jpg,tzigara,0
,,,,,,13-70.jpg,tzigara,0
,,,,,,13-71.jpg,tzigara,0
,,,,,,13-72.jpg,tzigara,0
,,,,,,13-73.jpg,tzigara,0
,,,,,,13-74.jpg,tzigara,0
,,,,,,13-75.jpg,tzigara,0
,,,,,,13-80.jpg,tzigara,0
,,,,,,13-82.jpg,tzigara,0
Cutie/nr:13-83,"Biserica „Intrarea în Biserică” a Mănăstirii Lainici(Imagine exterioară – vedere de ansamblu dinspre sud-vest), fotografie",,,5779x6809 px,https://tzigara-samurcas.uauim.ro/static/box/display/13/13-083.jpg,13-83.jpg,tzigara,1
Cutie/nr:13-85,"Mănăstirea Lainici(Imagine din exteriorul ansamblului – vedere dinspre sud-vest), fotografie",,,8118x6042 px,https://tzigara-samurcas.uauim.ro/static/box/display/13/13-085.jpg,13-85.jpg,tzigara,1
Cutie/nr:13-86,"Biserica „Intrarea în Biserică” a Mănăstirii Lainici(Imagine exterioară – vedere dinspre sud), fotografie",,,5735x7638 px,https://tzigara-samurcas.uauim.ro/static/box/display/13/13-086.jpg,13-86.jpg,tzigara,1
Cutie/nr:13-87,"Biserica „Intrarea în Biserică” a Mănăstirii Lainici(Imagine exterioară – vedere dinspre sud-vest), fotografie",,,5254x5936 px,https://tzigara-samurcas.uauim.ro/static/box/display/13/13-087.jpg,13-87.jpg,tzigara,1
,,,,,,13-89.jpg,tzigara,0
,,,,,,13-90.jpg,tzigara,0
,,,,,,14-1.jpg,tzigara,0
