path,mse
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_2048128_186596.jpg,0.2960714697837829
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_1190_INP_postcards_3344.jpg,0.7531938552856445
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99242.jpg,0.173087939620018
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99256.jpg,0.8547395467758179
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_2024904_https___www_topfoto_co_uk_asset_3026846.jpg,0.5439136624336243
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_951_Culturalia_1472fa08_acd9_11d9_ae7e_0050fccf2e52.jpg,0.4902092516422272
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99231.jpg,0.2672223150730133
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99241.jpg,0.2838014662265777
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_951_Culturalia_70d9506a_e32e_4b12_ac0f_cc97897f8363.jpg,0.2225130200386047
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99222.jpg,0.1555747240781784
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99230.jpg,0.7068830132484436
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_1190_INP_postcards_3358.jpg,0.6408317685127258
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__2217.jpg,0.344481348991394
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__2214.jpg,0.6226965188980103
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99213.jpg,1.0677199363708496
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_951_Culturalia_9f7d89c8_7468_4df5_8cab_b83c53b4e8ad.jpg,0.3843627274036407
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99238.jpg,0.2382092624902725
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_437_item_CBATDEAZMHMG6KC6KDWRORXFEBCH4FLF.jpg,0.5702439546585083
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99257.jpg,0.505189836025238
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99218.jpg,0.3749468326568603
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99229.jpg,0.5252289175987244
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99211.jpg,0.8846538066864014
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__2157.jpg,0.5517929196357727
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_2048047_Clasate_08c649d6ebcb479d8ed5ade93299cf34.jpg,0.3113672733306885
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_22__99232.jpg,0.1596322804689407
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_2024904_https___www_topfoto_co_uk_asset_3024561.jpg,0.8481330275535583
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_951_Culturalia_272be1e3_dfb9_49d9_8d88_8b03d9c2aaf9.jpg,0.7101026177406311
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/europeana/images/_2048047_Clasate_908d6e3218f74a21bb0e697eec5088a8.jpg,0.5281274318695068
