path,mse,source,completeness,title,width,height,aspect_ratio,is_grayscale,jpeg_quality,mean_saturation,dynamic_range
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-67.jpg,1.0936627388000488,tzigara,0.0,,400.0,464.0,0.8621,0.0,65.0,18.35,253.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-59.jpg,0.5772653818130493,tzigara,0.0,,400.0,248.0,1.6129,0.0,61.0,46.27,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-16.jpg,0.9380033016204834,tzigara,0.0,,400.0,499.0,0.8016,0.0,69.0,19.02,249.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-69.jpg,0.7866472601890564,tzigara,0.0,,400.0,300.0,1.3333,0.0,67.0,31.67,248.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-22.jpg,0.5511900186538696,tzigara,0.0,,400.0,470.0,0.8511,0.0,64.0,17.75,253.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-36.jpg,0.3339460790157318,tzigara,0.0,,371.0,500.0,0.742,0.0,63.0,59.63,249.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-78.jpg,0.6738491058349609,tzigara,0.0,,400.0,424.0,0.9434,0.0,65.0,61.21,251.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-64.jpg,0.5305628180503845,tzigara,0.0,,363.0,500.0,0.726,0.0,58.0,20.8,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-40.jpg,0.8752396702766418,tzigara,0.0,,400.0,329.0,1.2158,0.0,64.0,1.8,243.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-40.jpg,0.3509968221187591,tzigara,0.0,,253.0,500.0,0.506,0.0,69.0,32.24,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-83.jpg,0.96676903963089,tzigara,0.0,,350.0,500.0,0.7,0.0,65.0,0.14,251.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-14.jpg,0.857007622718811,tzigara,0.0,,385.0,500.0,0.77,0.0,64.0,0.09,251.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-32.jpg,0.6926906108856201,tzigara,0.0,,400.0,424.0,0.9434,0.0,65.0,28.61,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-54.jpg,0.5571552515029907,tzigara,0.0,,400.0,449.0,0.8909,0.0,64.0,0.36,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-68.jpg,1.1718238592147827,tzigara,0.5,"Casa meşterului Antonie Mogoş(În varianta reinstalată la Muzeul de Etnografie şi Artă Naţională (Bucureşti)), fotografie",400.0,261.0,1.5326,0.0,65.0,0.77,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-23.jpg,1.172858953475952,tzigara,0.0,,400.0,287.0,1.3937,0.0,67.0,2.04,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-44.jpg,0.5791432857513428,tzigara,0.0,,400.0,360.0,1.1111,0.0,60.0,21.07,254.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-87.jpg,0.6863053441047668,tzigara,0.0,,373.0,500.0,0.746,0.0,71.0,0.31,246.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-81.jpg,0.7872334122657776,tzigara,0.0,,376.0,500.0,0.752,0.0,62.0,3.69,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-30.jpg,0.4886476695537567,tzigara,0.0,,400.0,315.0,1.2698,0.0,67.0,44.49,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-65.jpg,0.7273504137992859,tzigara,0.0,,400.0,284.0,1.4085,0.0,69.0,36.16,251.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-19.jpg,0.5849484801292419,tzigara,0.0,,400.0,430.0,0.9302,0.0,57.0,5.29,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-66.jpg,1.3349424600601196,tzigara,0.0,,370.0,500.0,0.74,0.0,62.0,5.79,254.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-98.jpg,0.8434100151062012,tzigara,0.0,,400.0,269.0,1.487,0.0,63.0,52.8,253.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-10.jpg,0.9484696984291076,tzigara,0.0,,290.0,500.0,0.58,0.0,63.0,1.29,250.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-59.jpg,0.6411643028259277,tzigara,0.0,,400.0,471.0,0.8493,0.0,63.0,51.48,249.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-67.jpg,1.0991578102111816,tzigara,0.0,,400.0,426.0,0.939,0.0,59.0,77.09,248.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-52.jpg,0.388018786907196,tzigara,0.0,,400.0,362.0,1.105,0.0,70.0,25.61,248.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-98.jpg,0.8032100796699524,tzigara,0.0,,347.0,500.0,0.694,0.0,63.0,32.51,250.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-56.jpg,1.0101521015167236,tzigara,0.0,,400.0,293.0,1.3652,0.0,64.0,1.26,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-8.jpg,0.3625940084457397,tzigara,0.0,,400.0,272.0,1.4706,0.0,61.0,58.07,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-8.jpg,0.671298623085022,tzigara,0.0,,400.0,426.0,0.939,0.0,60.0,63.73,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-73.jpg,1.4381898641586304,tzigara,0.5,"Meşterul Antonie Mogoş(Portret), fotografie",400.0,490.0,0.8163,0.0,62.0,1.53,251.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-71.jpg,1.0332521200180054,tzigara,0.0,,400.0,291.0,1.3746,0.0,65.0,0.18,248.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-83.jpg,1.0773259401321411,tzigara,0.5,"Biserica „Intrarea în Biserică” a Mănăstirii Lainici(Imagine exterioară – vedere de ansamblu dinspre sud-vest), fotografie",400.0,471.0,0.8493,0.0,65.0,0.07,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-53.jpg,0.4665989279747009,tzigara,0.0,,400.0,303.0,1.3201,0.0,63.0,0.51,248.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-62.jpg,0.3635860383510589,tzigara,0.0,,400.0,256.0,1.5625,0.0,65.0,41.15,248.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-24.jpg,1.0013887882232666,tzigara,0.0,,400.0,370.0,1.0811,0.0,59.0,19.49,251.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-6.jpg,0.7529894709587097,tzigara,0.0,,400.0,377.0,1.061,0.0,60.0,76.76,246.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-42.jpg,0.6916664838790894,tzigara,0.0,,400.0,269.0,1.487,0.0,57.0,61.47,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-4.jpg,1.4891527891159058,tzigara,0.0,,400.0,351.0,1.1396,0.0,61.0,0.15,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-99.jpg,0.5162836909294128,tzigara,0.0,,400.0,470.0,0.8511,0.0,67.0,1.33,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-74.jpg,0.7217497825622559,tzigara,0.0,,400.0,478.0,0.8368,0.0,69.0,6.1,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-86.jpg,0.9040738940238952,tzigara,0.0,,400.0,209.0,1.9139,0.0,60.0,6.04,253.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-77.jpg,0.5446686744689941,tzigara,0.0,,345.0,500.0,0.69,0.0,59.0,20.3,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-69.jpg,0.4685294032096863,tzigara,0.0,,394.0,500.0,0.788,0.0,69.0,22.37,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-86.jpg,0.946720004081726,tzigara,0.0,,400.0,280.0,1.4286,0.0,68.0,22.34,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-87.jpg,0.453440397977829,tzigara,0.0,,400.0,372.0,1.0753,0.0,62.0,63.34,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-25.jpg,0.7596444487571716,tzigara,0.0,,373.0,500.0,0.746,0.0,62.0,0.32,253.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-13.jpg,0.8040011525154114,tzigara,0.0,,400.0,292.0,1.3699,0.0,64.0,2.2,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-90.jpg,0.7301471829414368,tzigara,0.0,,400.0,307.0,1.3029,0.0,64.0,82.4,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-45.jpg,0.8813313245773315,tzigara,0.0,,400.0,296.0,1.3514,0.0,63.0,2.05,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-27.jpg,1.1894936561584473,tzigara,0.0,,400.0,289.0,1.3841,0.0,66.0,0.4,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-27.jpg,0.4554826915264129,tzigara,0.0,,400.0,287.0,1.3937,0.0,69.0,43.26,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-71.jpg,1.195384502410889,tzigara,0.0,,400.0,296.0,1.3514,0.0,63.0,0.12,254.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-74.jpg,1.4379502534866333,tzigara,0.0,,400.0,379.0,1.0554,0.0,65.0,0.2,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-52.jpg,0.8771799206733704,tzigara,0.0,,400.0,293.0,1.3652,0.0,69.0,1.68,247.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-88.jpg,0.361471563577652,tzigara,0.0,,400.0,485.0,0.8247,0.0,64.0,23.15,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-3.jpg,0.5344057679176331,tzigara,0.0,,400.0,295.0,1.3559,0.0,70.0,0.11,247.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-90.jpg,0.7176422476768494,tzigara,0.0,,400.0,289.0,1.3841,0.0,67.0,0.97,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/11-91.jpg,1.3973816633224487,tzigara,0.0,,400.0,294.0,1.3605,0.0,63.0,2.51,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-6.jpg,0.6284292936325073,tzigara,0.0,,400.0,290.0,1.3793,0.0,66.0,28.32,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-48.jpg,1.0680336952209473,tzigara,0.0,,372.0,500.0,0.744,0.0,64.0,6.08,246.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-2.jpg,1.781486988067627,tzigara,0.0,,378.0,500.0,0.756,0.0,62.0,0.13,248.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-32.jpg,0.3550759255886078,tzigara,0.0,,400.0,362.0,1.105,0.0,66.0,49.42,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-78.jpg,0.677807629108429,tzigara,0.0,,400.0,272.0,1.4706,0.0,68.0,1.51,253.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-34.jpg,0.7896689772605896,tzigara,0.0,,400.0,473.0,0.8457,0.0,65.0,39.5,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-49.jpg,0.4359711110591888,tzigara,0.0,,284.0,500.0,0.568,0.0,66.0,9.34,251.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-8.jpg,0.700233519077301,tzigara,0.0,,400.0,357.0,1.1204,0.0,58.0,79.35,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-36.jpg,0.7113059163093567,tzigara,0.0,,400.0,294.0,1.3605,0.0,62.0,1.74,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-45.jpg,0.4252726137638092,tzigara,0.0,,378.0,500.0,0.756,0.0,69.0,1.39,247.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-51.jpg,0.7957009077072144,tzigara,0.0,,323.0,500.0,0.646,0.0,63.0,23.09,249.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-23.jpg,1.0483025312423706,tzigara,0.0,,400.0,321.0,1.2461,0.0,65.0,8.41,254.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-71.jpg,0.693003237247467,tzigara,0.0,,400.0,471.0,0.8493,0.0,67.0,73.45,249.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-45.jpg,1.2869212627410889,tzigara,0.0,,379.0,500.0,0.758,0.0,59.0,1.96,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-64.jpg,0.829190731048584,tzigara,0.0,,400.0,243.0,1.6461,0.0,66.0,1.54,251.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-40.jpg,0.6975438594818115,tzigara,0.0,,361.0,500.0,0.722,0.0,64.0,20.73,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-44.jpg,0.671452522277832,tzigara,0.0,,400.0,435.0,0.9195,0.0,56.0,1.59,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-1.jpg,0.6643080711364746,tzigara,0.0,,386.0,500.0,0.772,0.0,66.0,28.91,251.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-52.jpg,0.617034375667572,tzigara,0.0,,334.0,500.0,0.668,0.0,67.0,47.75,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-5.jpg,0.8480188250541687,tzigara,0.0,,400.0,285.0,1.4035,0.0,62.0,1.92,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-67.jpg,0.7667939066886902,tzigara,0.0,,400.0,315.0,1.2698,0.0,69.0,5.29,246.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-21.jpg,0.9756023287773132,tzigara,0.0,,400.0,249.0,1.6064,0.0,69.0,1.92,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-92.jpg,0.6265368461608887,tzigara,0.0,,399.0,500.0,0.798,0.0,64.0,56.71,254.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-84.jpg,0.7172101140022278,tzigara,0.0,,400.0,233.0,1.7167,0.0,69.0,0.34,249.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-54.jpg,0.3578463196754455,tzigara,0.0,,400.0,450.0,0.8889,0.0,67.0,40.07,240.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/19-7.jpg,1.4671095609664917,tzigara,0.0,,400.0,337.0,1.1869,0.0,67.0,76.58,251.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-50.jpg,0.986862063407898,tzigara,0.5,"Biserica „Adormirea Maicii Domnului” a Mănăstirii Polovragi(Imagine interioară – fragment din tabloul votiv), fotografie",371.0,500.0,0.742,0.0,68.0,1.39,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-41.jpg,0.864051878452301,tzigara,0.0,,400.0,476.0,0.8403,0.0,66.0,0.19,251.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-84.jpg,0.9256386160850524,tzigara,0.5,"Cula din Groşerea(Imagine exterioară), fotografie",400.0,303.0,1.3201,0.0,65.0,0.24,249.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-55.jpg,0.336555540561676,tzigara,0.0,,400.0,289.0,1.3841,0.0,66.0,45.84,245.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-9.jpg,0.7869968414306641,tzigara,0.0,,400.0,277.0,1.444,0.0,68.0,0.46,248.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-80.jpg,0.6315180063247681,tzigara,0.5,"Ansamblul Schitului Crasna(Poartă), fotografie",379.0,500.0,0.758,0.0,66.0,0.13,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-4.jpg,0.644917905330658,tzigara,0.0,,400.0,292.0,1.3699,0.0,66.0,10.34,249.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-96.jpg,1.6168495416641235,tzigara,0.0,,364.0,500.0,0.728,0.0,64.0,3.91,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/11-93.jpg,1.4048141241073608,tzigara,0.0,,400.0,297.0,1.3468,0.0,64.0,1.54,253.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-95.jpg,0.4815260469913482,tzigara,0.0,,400.0,499.0,0.8016,0.0,63.0,59.43,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-36.jpg,0.414876639842987,tzigara,0.0,,400.0,276.0,1.4493,0.0,66.0,32.68,254.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-58.jpg,0.8960571885108948,tzigara,0.0,,363.0,500.0,0.726,0.0,65.0,2.16,250.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-72.jpg,0.8859461545944214,tzigara,0.0,,349.0,500.0,0.698,0.0,62.0,39.89,250.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-12.jpg,0.6207003593444824,tzigara,0.0,,400.0,351.0,1.1396,0.0,67.0,3.07,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-90.jpg,0.7338565587997437,tzigara,0.0,,296.0,500.0,0.592,0.0,66.0,0.28,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-88.jpg,1.2087411880493164,tzigara,0.0,,400.0,499.0,0.8016,0.0,65.0,3.59,251.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-4.jpg,0.5511898994445801,tzigara,0.0,,253.0,500.0,0.506,0.0,63.0,0.45,254.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-75.jpg,1.0914068222045898,tzigara,0.5,"Casa meşterului Antonie Mogoş(În varianta reinstalată la Muzeul de Etnografie şi Artă Naţională (Bucureşti)), fotografie",400.0,275.0,1.4545,0.0,66.0,5.36,249.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-47.jpg,0.6916056871414185,tzigara,0.0,,400.0,274.0,1.4599,0.0,57.0,31.9,250.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-15.jpg,0.7878271341323853,tzigara,0.0,,400.0,284.0,1.4085,0.0,63.0,8.97,251.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-39.jpg,0.564071774482727,tzigara,0.0,,372.0,500.0,0.744,0.0,64.0,2.92,254.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-33.jpg,0.4898349344730377,tzigara,0.0,,392.0,500.0,0.784,0.0,63.0,77.91,246.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-63.jpg,1.3399440050125122,tzigara,0.0,,363.0,500.0,0.726,0.0,61.0,0.21,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-29.jpg,0.7840350270271301,tzigara,0.0,,400.0,404.0,0.9901,0.0,61.0,10.69,247.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-60.jpg,0.4301653504371643,tzigara,0.0,,400.0,265.0,1.5094,0.0,67.0,30.62,246.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-57.jpg,1.3838229179382324,tzigara,0.0,,400.0,253.0,1.581,0.0,59.0,8.16,251.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/20-146.jpg,0.8673170208930969,tzigara,0.0,,383.0,500.0,0.766,0.0,64.0,81.51,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-9.jpg,0.6374203562736511,tzigara,0.0,,400.0,296.0,1.3514,0.0,65.0,20.58,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-82.jpg,0.6202071905136108,tzigara,0.0,,400.0,269.0,1.487,0.0,65.0,28.67,253.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-10.jpg,0.3943069875240326,tzigara,0.0,,400.0,430.0,0.9302,0.0,68.0,9.92,250.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-82.jpg,0.9937596321105956,tzigara,0.0,,400.0,304.0,1.3158,0.0,66.0,3.78,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-69.jpg,0.7218186259269714,tzigara,0.5,"Uliţă(Imagine), fotografie",400.0,248.0,1.6129,0.0,68.0,21.67,253.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-50.jpg,0.4287247657775879,tzigara,0.0,,400.0,288.0,1.3889,0.0,73.0,6.93,251.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-87.jpg,1.266593098640442,tzigara,0.0,,400.0,275.0,1.4545,0.0,62.0,6.97,254.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-87.jpg,0.8130134344100952,tzigara,0.5,"Biserica „Intrarea în Biserică” a Mănăstirii Lainici(Imagine exterioară – vedere dinspre sud-vest), fotografie",400.0,452.0,0.885,0.0,67.0,3.96,250.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-10.jpg,0.4865424633026123,tzigara,0.0,,400.0,463.0,0.8639,0.0,68.0,26.84,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-32.jpg,0.6702473759651184,tzigara,0.0,,400.0,284.0,1.4085,0.0,67.0,6.78,253.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-50.jpg,1.089465856552124,tzigara,0.0,,375.0,500.0,0.75,0.0,63.0,3.24,251.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-72.jpg,0.8543466329574585,tzigara,0.0,,400.0,451.0,0.8869,0.0,67.0,37.46,254.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-39.jpg,1.1739391088485718,tzigara,0.0,,400.0,451.0,0.8869,0.0,58.0,25.3,247.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-79.jpg,0.7380462288856506,tzigara,0.0,,400.0,268.0,1.4925,0.0,65.0,15.87,254.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-115.jpg,0.7025983929634094,tzigara,0.0,,319.0,500.0,0.638,0.0,65.0,10.88,249.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-14.jpg,0.4297482073307037,tzigara,0.0,,400.0,289.0,1.3841,0.0,68.0,0.06,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-69.jpg,1.0441142320632937,tzigara,0.0,,400.0,264.0,1.5152,0.0,66.0,0.19,251.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-30.jpg,0.5115863680839539,tzigara,0.0,,350.0,500.0,0.7,0.0,67.0,2.58,248.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-46.jpg,0.6778019666671753,tzigara,0.0,,368.0,500.0,0.736,0.0,68.0,0.74,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-71.jpg,0.7458869814872742,tzigara,0.0,,357.0,500.0,0.714,0.0,62.0,2.02,255.0
