path,mse,source,completeness,title,width,height,aspect_ratio,is_grayscale,jpeg_quality,mean_saturation,dynamic_range
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-34.jpg,0.7617790699005127,tzigara,0.0,,400.0,334.0,1.1976,0.0,67.0,1.82,253.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-65.jpg,0.4516789317131042,tzigara,0.0,,400.0,361.0,1.108,0.0,66.0,47.95,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-73.jpg,0.5046024322509766,tzigara,0.0,,400.0,473.0,0.8457,0.0,62.0,52.83,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-48.jpg,0.4943243563175201,tzigara,0.0,,355.0,500.0,0.71,0.0,57.0,60.58,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-49.jpg,0.8568857312202454,tzigara,0.0,,400.0,482.0,0.8299,0.0,69.0,4.46,251.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-34.jpg,1.2071354389190674,tzigara,0.0,,400.0,412.0,0.9709,0.0,67.0,28.46,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-93.jpg,0.4483173787593841,tzigara,0.0,,400.0,335.0,1.194,0.0,67.0,30.52,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-17.jpg,0.639504075050354,tzigara,0.0,,370.0,500.0,0.74,0.0,67.0,4.05,251.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-77.jpg,1.1022224426269531,tzigara,0.0,,400.0,299.0,1.3378,0.0,62.0,1.92,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-34.jpg,0.5744131207466125,tzigara,0.0,,400.0,489.0,0.818,0.0,66.0,40.46,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-6.jpg,0.5499320030212402,tzigara,0.0,,400.0,253.0,1.581,0.0,67.0,37.56,254.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-10.jpg,0.7140479683876038,tzigara,0.0,,400.0,299.0,1.3378,0.0,68.0,1.39,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-58.jpg,0.9614262580871582,tzigara,0.0,,400.0,279.0,1.4337,0.0,64.0,53.71,250.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-48.jpg,0.8464734554290771,tzigara,0.0,,363.0,500.0,0.726,0.0,64.0,31.94,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-51.jpg,0.5021074414253235,tzigara,0.0,,391.0,500.0,0.782,0.0,67.0,0.17,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-12.jpg,0.9889448285102844,tzigara,0.0,,400.0,354.0,1.1299,0.0,64.0,39.24,250.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-27.jpg,0.7888436913490295,tzigara,0.0,,400.0,379.0,1.0554,0.0,64.0,0.13,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-91.jpg,0.921071231365204,tzigara,0.0,,361.0,500.0,0.722,0.0,68.0,2.3,246.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-85.jpg,1.081606149673462,tzigara,0.0,,400.0,330.0,1.2121,0.0,63.0,1.47,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-15.jpg,0.4456780850887298,tzigara,0.0,,400.0,291.0,1.3746,0.0,63.0,1.62,249.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-71.jpg,0.6385418772697449,tzigara,0.0,,338.0,500.0,0.676,0.0,64.0,39.09,250.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-72.jpg,0.7173047661781311,tzigara,0.0,,400.0,491.0,0.8147,0.0,60.0,52.21,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-96.jpg,0.6196339130401611,tzigara,0.0,,400.0,339.0,1.1799,0.0,67.0,4.22,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-61.jpg,1.0576993227005005,tzigara,0.0,,400.0,342.0,1.1696,0.0,64.0,0.19,255.0
